compositeID,commit_before,commit_after,element,smellTypes,project,cC,cDISP,cINT,cLOC,changingClasses,changingMethods,classLinesOfCode,couplingDispersion,couplingIntensity,cyclomaticComplexity,isAbstract,lCOM,lCOM2,lCOM3,lackOfCohesionOfMethods,mLOC,maxCallChain,maxNesting,methodLinesOfCode,nOAM,nOAV,numberOfAccessedVariables,numberOfAccessorMethods,overrideRatio,parameterCount,publicFieldCount,tCC,tightClassCohesion,wMC,wOC,weighOfClass,weightedMethodCount,additionalProperties.MethodEffectiveLinesOfCode,additionalProperties.NumberOfFinallyStatements,additionalProperties.ExceptionalLOC,additionalProperties.NumberOfCatchStatements,additionalProperties.NumberOfDummyExceptionHandlers,additionalProperties.NumberOfTryStatements,additionalProperties.NumberOfThrowStatements,additionalProperties.NumberOfTryStatementsWithNoCatchAndFinally,additionalProperties.ThrownExceptionTypesCount
effect-11,b8b97b14938faa5a7f86cda18948ad3f72e5a7ec,7925d2baab06742e5804544acccd2f446dcf3e18,com.afollestad.materialdialogs.MaterialDialog.invalidateList,['LongMethod'],material-dialogs,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect-11,e4429988e781139b8667cb1226ce2af8a72701a3,6f07602e2602ddd1f2408489109cbf29018ad6fc,com.afollestad.materialdialogs.MaterialDialog.invalidateList,['LongMethod'],material-dialogs,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect-11,71a115953a39c32b2ab6dd541f8d46385042aee5,d56484d01a237b2005d6820014de6590702762cf,com.afollestad.materialdialogs.MaterialDialog.invalidateList,['LongMethod'],material-dialogs,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect-2347,ab7786be4a8d9f3136772548ad0116b4bab7d8f5,5424f5bf6384869a7e629d775230a4d4bb3cbb75,org.geoserver.wms.kvp.PALFileLoader.PALFileLoader([Resource]),['LongMethod'],geoserver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,55.0,4.0,0.0,2.0,4.0,0.0,0.0
effect-11,2ff3f40da9c6d21fd37ced0c3b0a0337b1efa5f8,129b1e2fa3d9b21007fb1ae994de2a0cf1d1504b,com.afollestad.materialdialogs.MaterialDialog.checkIfListInitScroll,['LongMethod'],material-dialogs,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect-11,9fb7c15d918d2ab9603d45628b23a42ba8c6d7d1,4e65d7e208eb1158316a2fa66e137b7eb5364ef3,com.afollestad.materialdialogs.MaterialDialog.invalidateActions,['LongMethod'],material-dialogs,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect-11,12fc7b02140d9b054fa9e2bc2172dc35290bbee0,90108f5ea6ea506ddc5d9235e5bfb535f4689d8c,com.afollestad.materialdialogs.MaterialDialog.invalidateList,['LongMethod'],material-dialogs,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect-84,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixCommandTest.testExecutionHookThreadTimeoutSuccessfulFallbackRunSuccess,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,1.0,0.0,1.0,1.0,0.0,0.0
effect-85,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixObservableCommandTest.testExecutionHookSemaphoreRejectedUnsuccessfulFallback,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,1.0,0.0,1.0,1.0,0.0,0.0
effect-178,520e941aef9974fa141b35b412639ccdf2f5a936,93ac53543f6c272342d6e02d3134671c7f92f95f,com.netflix.hystrix.contrib.servopublisher.HystrixServoMetricsPublisherCommandAbstract.getRollingNumberTypeFromEventType([HystrixEventType]),['LongMethod'],hystrix,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
