compositeID,commit_before,commit_after,element,smellTypes,project,cC,cDISP,cINT,cLOC,changingClasses,changingMethods,classLinesOfCode,couplingDispersion,couplingIntensity,cyclomaticComplexity,isAbstract,lCOM,lCOM2,lCOM3,lackOfCohesionOfMethods,mLOC,maxCallChain,maxNesting,methodLinesOfCode,nOAM,nOAV,numberOfAccessedVariables,numberOfAccessorMethods,overrideRatio,parameterCount,publicFieldCount,tCC,tightClassCohesion,wMC,wOC,weighOfClass,weightedMethodCount,additionalProperties.MethodEffectiveLinesOfCode,additionalProperties.NumberOfFinallyStatements,additionalProperties.ExceptionalLOC,additionalProperties.NumberOfCatchStatements,additionalProperties.NumberOfDummyExceptionHandlers,additionalProperties.NumberOfTryStatements,additionalProperties.NumberOfThrowStatements,additionalProperties.NumberOfTryStatementsWithNoCatchAndFinally,additionalProperties.ThrownExceptionTypesCount
effect-156,3e8cb9418f3715cbb52e468ee4443ecfb01fb03a,2ff16ff5c732cf0c81295eef7f0f86c82b136ea1,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.multipleSingleThreadedRequests,"['FeatureEnvy', 'LongMethod']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142984867096,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
effect-156,3e8cb9418f3715cbb52e468ee4443ecfb01fb03a,2ff16ff5c732cf0c81295eef7f0f86c82b136ea1,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.testMultipleSubscribers,"['FeatureEnvy', 'LongMethod']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
effect-1,255a569b65fc850dd0394acfa003d6b63c6a2308,840e63c63d5c79d6bf719e3743c347cbcb1f4bee,com.netflix.hystrix.UnsubscribedTasksRequestCacheTest.testOneCommandIsUnsubscribed,"['FeatureEnvy', 'LongMethod']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285969734192,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,120.0,2.0,0.0,3.0,0.0,1.0,2.0
effect-132,3d180d324f583174d9575840525fc8bd1e8678d0,f20b8ff641cbf6da18f9770a429a731b8e788702,com.netflix.hystrix.contrib.servopublisher.HystrixServoMetricsPublisherCollapser.getServoMonitors,"['FeatureEnvy', 'LongMethod']",hystrix,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect-84,7b54e5f3c6a0604a9dd7419534e86b7e534f66af,bd40f20464c17602eab0c843f54dd7954cdbf8b9,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithFallbackFailure,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,126.0,3.0,1.0,3.0,0.0,0.0,0.0
effect-84,ef3735f65b17552a33392b9a27af1f4347a265ec,281add500556b90c52aa5bbea349204deb435fbc,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithNoFallback,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'DispersedCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,171.0,3.0,1.0,3.0,0.0,0.0,0.0
effect-84,04ce80153924dacaed3e4bb8ee8fa6634e58231d,8e50980bc40e246bc3ee0996f0c3be675a640d8a,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithFallbackFailure,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,126.0,3.0,1.0,3.0,0.0,0.0,0.0
effect-84,2b295add9c60c96499c36968c56eb4381eacd16d,d7cff232aea0f5ecd827be6812366ed6c177d759,com.netflix.hystrix.HystrixCommandTest.testObservableTimeoutNoFallbackThreadContext,"['FeatureEnvy', 'LongMethod', 'MessageChain']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846383094788,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect-84,2b295add9c60c96499c36968c56eb4381eacd16d,d7cff232aea0f5ecd827be6812366ed6c177d759,com.netflix.hystrix.HystrixCommandTest.testExecutionKnownFailureWithNoFallback,"['FeatureEnvy', 'LongMethod', 'MessageChain']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,2.0,0.0,1.0,0.0,0.0,0.0
effect-84,04ce80153924dacaed3e4bb8ee8fa6634e58231d,8e50980bc40e246bc3ee0996f0c3be675a640d8a,com.netflix.hystrix.HystrixCommandTest.testCircuitBreakerAcrossMultipleCommandsButSameCircuitBreaker,"['FeatureEnvy', 'LongMethod']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434989929199,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
effect-84,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixCommandTest.testExecutionHookThreadPoolQueueFullUnsuccessfulFallback,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,1.0,1.0,1.0,0.0,0.0,0.0
effect-84,05ce2a10981606744f658a40c536b457c83e5cd2,d7de465f6b815ef932cad1bc66cee250a8a863c7,com.netflix.hystrix.HystrixCommandTest.testExecutionHookThreadPoolQueueFullUnsuccessfulFallback,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,1.0,1.0,1.0,0.0,0.0,0.0
effect-84,5601488a877cf64d0110e85f62008f4f95619d3a,09949d6ead2b7a95b8c528da50d52a9392b8611c,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithFallbackFailure,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'DispersedCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,86.0,2.0,1.0,2.0,0.0,0.0,0.0
effect-84,e4a7a4aa4b984c400de7fc413abe3063132e4ed5,110b6fe3aff63cdec5b00900023ce87147473629,com.netflix.hystrix.HystrixCommandTest.testExecutionSemaphoreWithExecution,"['FeatureEnvy', 'LongMethod']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,156.0,3.0,0.0,3.0,1.0,0.0,0.0
effect-84,157e79669533fa6549090e083914359120269b02,a305f235ebd1a2e8c466886e1d187cf664beea58,com.netflix.hystrix.HystrixCommandTest.testRejectedExecutionSemaphoreWithFallback,"['FeatureEnvy', 'LongMethod', 'MessageChain']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,84.0,2.0,0.0,2.0,0.0,0.0,0.0
effect-84,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixCommandTest.testExecutionHookThreadTimeoutUnsuccessfulFallbackRunSuccess,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,1.0,0.0,1.0,1.0,0.0,0.0
