smellId,name,projectName,codeElement,detectorName,details,commit,agglomeratedSmells,metrics.MethodEffectiveLinesOfCode,metrics.NumberOfFinallyStatements,metrics.NumberOfCatchStatements,metrics.ExceptionalLOC,metrics.NumberOfDummyExceptionHandlers,metrics.NumberOfTryStatements,metrics.NumberOfThrowStatements,metrics.NumberOfTryStatementsWithNoCatchAndFinally,metrics.ThrownExceptionTypesCount,metrics.cC,metrics.cDISP,metrics.cINT,metrics.cLOC,metrics.changingClasses,metrics.changingMethods,metrics.classLinesOfCode,metrics.couplingDispersion,metrics.couplingIntensity,metrics.cyclomaticComplexity,metrics.isAbstract,metrics.lCOM,metrics.lCOM2,metrics.lCOM3,metrics.lackOfCohesionOfMethods,metrics.mLOC,metrics.maxCallChain,metrics.maxNesting,metrics.methodLinesOfCode,metrics.nOAM,metrics.nOAV,metrics.numberOfAccessedVariables,metrics.numberOfAccessorMethods,metrics.overrideRatio,metrics.parameterCount,metrics.publicFieldCount,metrics.tCC,metrics.tightClassCohesion,metrics.wMC,metrics.wOC,metrics.weighOfClass,metrics.weightedMethodCount
activiti-597,LongMethod,activiti,org.activiti.engine.test.api.runtime.ProcessInstanceQueryTest.testQueryLongVariable,Organic,"MLOC > 30, startingLine: 320, EndingLine: 397",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
activiti-600,LongMethod,activiti,org.activiti.engine.test.api.runtime.ProcessInstanceQueryTest.testQueryDoubleVariable,Organic,"MLOC > 30, startingLine: 399, EndingLine: 476",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
activiti-603,LongMethod,activiti,org.activiti.engine.test.api.runtime.ProcessInstanceQueryTest.testQueryIntegerVariable,Organic,"MLOC > 30, startingLine: 478, EndingLine: 555",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
activiti-606,LongMethod,activiti,org.activiti.engine.test.api.runtime.ProcessInstanceQueryTest.testQueryShortVariable,Organic,"MLOC > 30, startingLine: 557, EndingLine: 637",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
activiti-609,LongMethod,activiti,org.activiti.engine.test.api.runtime.ProcessInstanceQueryTest.testQueryDateVariable,Organic,"MLOC > 30, startingLine: 639, EndingLine: 731",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
activiti-612,LongMethod,activiti,org.activiti.engine.test.api.runtime.ProcessInstanceQueryTest.testQueryNullVariable,Organic,"MLOC > 30, startingLine: 733, EndingLine: 811",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",56,0,5,280,0,5,0,0,1,0,0,0,0,0,0,0,0.3571428656578064,14,6,0,0,0,0,0,0,4,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0
activiti-616,LongMethod,activiti,org.activiti.engine.test.api.runtime.ProcessInstanceQueryTest.testQueryVariablesNullNameArgument,Organic,"MLOC > 30, startingLine: 843, EndingLine: 886",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",36,0,7,252,0,7,0,0,0,0,0,0,0,0,0,0,0.3333333432674408,9,8,0,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
activiti-644,LongMethod,activiti,org.activiti.engine.test.api.task.TaskQueryTest.generateTestTasks,Organic,"MLOC > 30, startingLine: 311, EndingLine: 369",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.2222222238779068,9,4,0,0,0,0,0,0,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
activiti-719,LongMethod,activiti,org.activiti.engine.test.history.HistoricActivityInstanceTest.testSorting,Organic,"MLOC > 30, startingLine: 118, EndingLine: 153",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
activiti-723,LongMethod,activiti,org.activiti.engine.test.history.HistoricProcessInstanceTest.testHistoricDataCreatedForProcessExecution,Organic,"MLOC > 30, startingLine: 36, EndingLine: 79",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7058823704719543,17,1,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
